Time,Timestamp,JourneyID,Mode,PredictionMode,Acc_Lin_X,Acc_Lin_Y,Acc_Lin_Z,Acc_X,Acc_Y,Acc_Z,Bar_Pressure,Loc_Altitude,Loc_Latitude,Loc_Longitude,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Rot_Vec_RotationVector,Rot_Vec_X,Rot_Vec_Y,Rot_Vec_Z
2020-12-18 09:03:00,1608282180255,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.214874268,-0.302612305,-0.91192627,100.8402328,11.81919479,1.322285121,103.8148863,0.122248679,0.037174001,-0.083566263,-156.7025146,-87.30221558,-335.9124146,0.794781643,0.064505001,-0.234190812,-0.556161832
2020-12-18 09:03:00,1608282180370,_0aihLkBHOH,MRT,STILL,,,,-0.214874268,-0.302612305,-0.91192627,100.8402328,11.84324265,1.322241253,103.814818,0.122248679,0.037174001,-0.083566263,-156.7025146,-87.30221558,-335.9124146,0.794781643,0.064505001,-0.234190812,-0.556161832
2020-12-18 09:03:00,1608282180393,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.214874268,-0.302612305,-0.91192627,100.8402328,11.84324265,1.322241253,103.814818,0.119165808,-0.161523908,0.079169124,-156.7025146,-87.30221558,-335.9124146,0.794781643,0.064505001,-0.234190812,-0.556161832
2020-12-18 09:03:00,1608282180455,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.214874268,-0.302612305,-0.91192627,100.8407974,11.84324265,1.322241253,103.814818,0.119165808,-0.161523908,0.079169124,-156.7025146,-87.30221558,-335.9124146,0.794781643,0.064505001,-0.234190812,-0.556161832
2020-12-18 09:03:01,1608282180517,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.364379883,-0.354614258,-0.873199463,100.8407974,11.84324265,1.322241253,103.814818,0.119165808,-0.161523908,0.079169124,-156.7025146,-87.30221558,-335.9124146,0.794781643,0.064505001,-0.234190812,-0.556161832
2020-12-18 09:03:01,1608282181353,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.364379883,-0.354614258,-0.873199463,100.8407974,11.84324265,1.322241253,103.814818,0.119165808,-0.161523908,0.079169124,-156.7025146,-87.30221558,-335.9124146,0.769236754,0.054327621,-0.231265243,-0.593160841
2020-12-18 09:03:01,1608282181466,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.364379883,-0.354614258,-0.873199463,100.8407974,11.84324265,1.322241253,103.814818,0.119165808,-0.161523908,0.079169124,-152.0466614,-88.76756287,-333.0962524,0.769236754,0.054327621,-0.231265243,-0.593160841
2020-12-18 09:03:02,1608282181519,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.364379883,-0.354614258,-0.873199463,100.8407974,11.84324265,1.322241253,103.814818,-0.043962929,-0.122402608,-0.131271467,-152.0466614,-88.76756287,-333.0962524,0.769236754,0.054327621,-0.231265243,-0.593160841
2020-12-18 09:03:02,1608282181570,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.364379883,-0.354614258,-0.873199463,100.8407974,11.84324265,1.322241253,103.814818,-0.043962929,-0.122402608,-0.131271467,-152.0466614,-88.76756287,-333.0962524,0.769236754,0.054327621,-0.231265243,-0.593160841
2020-12-18 09:03:02,1608282181623,_0aihLkBHOH,MRT,UNKNOWN,,,,-0.275146484,-0.359161377,-0.958099365,100.8407974,11.84324265,1.322241253,103.814818,-0.043962929,-0.122402608,-0.131271467,-152.0466614,-88.76756287,-333.0962524,0.769236754,0.054327621,-0.231265243,-0.593160841
