Time,Timestamp,JourneyID,Mode,PredictionMode,Acc_Lin_X,Acc_Lin_Y,Acc_Lin_Z,Acc_X,Acc_Y,Acc_Z,Bar_Pressure,Loc_Altitude,Loc_Latitude,Loc_Longitude,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Rot_Vec_RotationVector,Rot_Vec_X,Rot_Vec_Y,Rot_Vec_Z
2020-12-25 09:23:39,1608888218736,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.099838257,-0.412200928,-0.939178467,100.6376877,,,,0.031649806,-0.034085266,0.078659125,-41.91842651,-25.45510864,-48.12889099,-0.909220573,-0.180200641,-0.100058809,-0.361709464
2020-12-25 09:23:39,1608888218779,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.073608398,-0.395401001,-0.903961182,100.6376877,,,,0.031649806,-0.034085266,0.078659125,-41.91842651,-25.45510864,-48.12889099,-0.909220573,-0.180200641,-0.100058809,-0.361709464
2020-12-25 09:23:39,1608888218824,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.073608398,-0.395401001,-0.903961182,100.6376877,,,,0.031649806,-0.034085266,0.078659125,-42.25714111,-26.37994385,-45.80053711,-0.909220573,-0.180200641,-0.100058809,-0.361709464
2020-12-25 09:23:39,1608888218870,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.073608398,-0.395401001,-0.903961182,100.6376877,,,,-0.004054663,0.008964733,-0.047621313,-42.25714111,-26.37994385,-45.80053711,-0.909220573,-0.180200641,-0.100058809,-0.361709464
2020-12-25 09:23:40,1608888219737,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.073608398,-0.395401001,-0.903961182,100.6376877,,,,-0.004054663,0.008964733,-0.047621313,-42.25714111,-26.37994385,-45.80053711,-0.911882592,-0.176605617,-0.102344941,-0.356098153
2020-12-25 09:23:40,1608888219826,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.073608398,-0.395401001,-0.903961182,100.6306229,,,,-0.004054663,0.008964733,-0.047621313,-42.25714111,-26.37994385,-45.80053711,-0.911882592,-0.176605617,-0.102344941,-0.356098153
2020-12-25 09:23:40,1608888219868,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.059402466,-0.409240723,-0.92906189,100.6306229,,,,-0.004054663,0.008964733,-0.047621313,-42.25714111,-26.37994385,-45.80053711,-0.911882592,-0.176605617,-0.102344941,-0.356098153
2020-12-25 09:23:40,1608888219912,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.059402466,-0.409240723,-0.92906189,100.6306229,,,,-0.004054663,0.008964733,-0.047621313,-41.3974762,-26.62145996,-48.54057312,-0.911882592,-0.176605617,-0.102344941,-0.356098153
2020-12-25 09:23:40,1608888219959,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.059402466,-0.409240723,-0.92906189,100.6306229,,,,0.028014857,0.019959593,0.006896256,-41.3974762,-26.62145996,-48.54057312,-0.911882592,-0.176605617,-0.102344941,-0.356098153
2020-12-25 09:23:41,1608888220826,_W8Zh6gLLG1,Idle,UNKNOWN,,,,0.059402466,-0.409240723,-0.92906189,100.6306229,,,,0.028014857,0.019959593,0.006896256,-41.3974762,-26.62145996,-48.54057312,-0.911996556,-0.173345552,-0.114270227,-0.353773747
